Object URL,Object,Date Publication,Tag,Category,published_in_Tag,Subject_Tag,depicts_Tag,publisher_Tag,author_Tag
https://lootedart.com/news.php?r=SJERNJ892281,Die Geschichte eines gestohlenen Bildes - The history of a stolen painting,2017-07-09T00:00:00Z,news article,Event,Die Welt,Balthasar van der Ast,erroneous provenance (artwork),,
https://lootedart.com/news.php?r=SJERNJ892281,Die Geschichte eines gestohlenen Bildes - The history of a stolen painting,2017-07-09T00:00:00Z,news article,Event,Die Welt,art theft,erroneous provenance (artwork),,
https://itsartlaw.org/2018/10/15/framing-provenance-with-pissarros-pea-harvest/,Framing Provenance with Pissarro’s “Pea Harvest”,2018-10-15T00:00:00Z,news article,Event,,annotation,erroneous provenance (artwork),,
https://lootedart.com/news.php?r=SJERNJ892281,Die Geschichte eines gestohlenen Bildes - The history of a stolen painting,2017-07-09T00:00:00Z,news article,Event,Die Welt,Flowers in a Wan-Li Vase,erroneous provenance (artwork),,
https://lootedart.com/news.php?r=SJERNJ892281,Die Geschichte eines gestohlenen Bildes - The history of a stolen painting,2017-07-09T00:00:00Z,news article,Event,Die Welt,retouching,erroneous provenance (artwork),,
https://www.wsj.com/articles/museum-of-modern-art-returns-painting-to-heirs-of-jewish-collector-1447715089,Museum of Modern Art Returns Painting to Heirs of Man Who Fled Nazis,2015-11-16T00:00:00Z,news article,Event,The Wall Street Journal,claim for restitution of an artwork,erroneous provenance (artwork),,
https://www.wsj.com/articles/museum-of-modern-art-returns-painting-to-heirs-of-jewish-collector-1447715089,Museum of Modern Art Returns Painting to Heirs of Man Who Fled Nazis,2015-11-16T00:00:00Z,news article,Event,The Wall Street Journal,Kurt Feldhäusser,erroneous provenance (artwork),,
https://lootedart.com/news.php?r=SJERNJ892281,Die Geschichte eines gestohlenen Bildes - The history of a stolen painting,2017-07-09T00:00:00Z,news article,Event,Die Welt,Suermondt-Ludwig-Museum,erroneous provenance (artwork),,
https://itsartlaw.org/2018/10/15/framing-provenance-with-pissarros-pea-harvest/,Framing Provenance with Pissarro’s “Pea Harvest”,2018-10-15T00:00:00Z,news article,Event,,The pea harvest,erroneous provenance (artwork),,
https://www.wsj.com/articles/museum-of-modern-art-returns-painting-to-heirs-of-jewish-collector-1447715089,Museum of Modern Art Returns Painting to Heirs of Man Who Fled Nazis,2015-11-16T00:00:00Z,news article,Event,The Wall Street Journal,Dr. Max Fischer,erroneous provenance (artwork),,
