creator,creatorLabel,creatorDescription,imagecreator
http://www.wikidata.org/entity/Q23661866,Gustav Jacob Canton,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Jacob%20Canton%20in%20seinem%20Atelier%2C%20Henry%20Ritter%20in%20Schattenseiten%20der%20D%C3%BCsseldorfer%20Maler%2C%201845.jpg
http://www.wikidata.org/entity/Q28071035,Hans Canon,Austrian painter (1883-1960),
http://www.wikidata.org/.well-known/genid/05556e592e1576feaf6290c64c610d9b,http://www.wikidata.org/.well-known/genid/05556e592e1576feaf6290c64c610d9b,,
http://www.wikidata.org/entity/Q1708038,Joseph Stephan,German painter (1709-1786),
http://www.wikidata.org/entity/Q763488,August Querfurt,Austrian artist (1696-1761),http://commons.wikimedia.org/wiki/Special:FilePath/Franz%20Sebald%20Unterberger%20-%20Der%20Schlachtenmaler%20August%20Querfurt%20-%204089%20-%20Kunsthistorisches%20Museum.jpg
http://www.wikidata.org/entity/Q5492676,Franz Alt,Austrian painter,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Sternfeld%20Franz%20von%20Alt%20vor%20Salzburg.jpg
http://www.wikidata.org/entity/Q533958,Gerard de Lairesse,painter and engraver from the Northern Netherlands (1641-1711),http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Gerard%20de%20Lairesse%20MET%20rl1975.1.140.R.jpg
http://www.wikidata.org/entity/Q5591,Pinturicchio,Italian painter (1454-1513),http://commons.wikimedia.org/wiki/Special:FilePath/Pinturicchio%20self.jpg
http://www.wikidata.org/entity/Q1620016,Johann Gualbert Raffalt,Austrian painter (1836-1865),
http://www.wikidata.org/entity/Q714341,Eugène Isabey,French painter (1803-1886),http://commons.wikimedia.org/wiki/Special:FilePath/Isabey%2C%20Eug%C3%A8ne%2C%20Nadar%2C%20Gallica.jpg
http://www.wikidata.org/entity/Q354786,Jean-Louis-Ernest Meissonier,French painter and sculptor (1815-1891),http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Meissonier%20older.jpg
http://www.wikidata.org/entity/Q2148044,Abraham Begeyn,Dutch painter (1637-1697),http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Jansz.%20Begeyn%20-%20Flowers%20in%20a%20Stone%20Vase%20-%20WGA01585.jpg
http://www.wikidata.org/entity/Q18573601,Giuseppe Ruoppolo,Italian painter (1631-1710),
http://www.wikidata.org/entity/Q94757961,Eduard Schleich,German landscape painter,
http://www.wikidata.org/entity/Q465314,Bernhard Rode,German artist (1725-1797),http://commons.wikimedia.org/wiki/Special:FilePath/Bildnis%20des%20Christian%20Bernhardt%20Rode.jpg
http://www.wikidata.org/entity/Q52154741,Pierre Louis Omer Charlet,French painter (1809-1882),
http://www.wikidata.org/entity/Q3806887,Johannes Gottlieb Glauber,Dutch painter and engraver (1656-1703),
http://www.wikidata.org/entity/Q1514066,German von Bohn,German history painter (1812-1899),
http://www.wikidata.org/entity/Q2097400,Pius Ferdinand Messerschmitt,German painter (1858-1915),
http://www.wikidata.org/entity/Q104176153,Giovanni Grevenbroeck,"Dutch painter active in Italy (Netherlands, c. 1650 - Milan ?, post 1699)",
http://www.wikidata.org/entity/Q593801,Anton Schiffer,Austrian painter (1811-1876),
http://www.wikidata.org/.well-known/genid/9694fb61e0bb0a9e8bb7f600a45c6d15,http://www.wikidata.org/.well-known/genid/9694fb61e0bb0a9e8bb7f600a45c6d15,,
http://www.wikidata.org/entity/Q1853073,Rutilio di Lorenzo Manetti,Italian painter (1571-1639),http://commons.wikimedia.org/wiki/Special:FilePath/Rutilio%20Manetti%20%28portrait2%29.jpg
http://www.wikidata.org/entity/Q1039813,Carl Morgenstern,"German landscape painter, born 1811 (1811–1893)",
http://www.wikidata.org/entity/Q1446079,Franz Anton Palko,Austrian painter (1717-1766),http://commons.wikimedia.org/wiki/Special:FilePath/Palko%20autoportrait.jpg
http://www.wikidata.org/entity/Q1079377,Christian Eduard Boettcher,German painter (1818-1889),http://commons.wikimedia.org/wiki/Special:FilePath/Christian%20Eduard%20B%C3%B6ttcher%20-%20Maler.jpg
http://www.wikidata.org/entity/Q1449653,Franz Xavier Karl Palko,painter from Poland (1724-1767),
http://www.wikidata.org/entity/Q1684612,Jean-Baptiste Belin,French painter (1653-1715),
http://www.wikidata.org/entity/Q763984,August Friedrich Siegert,German painter (1820-1883),http://commons.wikimedia.org/wiki/Special:FilePath/20%20Siegert%2C%20Prof.%2C%20Verm%C3%A4chtnis%20des%20K%C3%BCnstlers%20Friedrich%20Boser.jpg
http://www.wikidata.org/entity/Q449153,Christian Mali,German painter and art professor (1832-1906),http://commons.wikimedia.org/wiki/Special:FilePath/Christian%20Mali%20by%20Anton%20Braith.jpg
http://www.wikidata.org/entity/Q55844200,Otto Hirth,,
http://www.wikidata.org/entity/Q591684,Claude Vignon,French painter (1593–1670),
http://www.wikidata.org/entity/Q18507883,August von Rentzell,German painter,
http://www.wikidata.org/entity/Q1692234,Johann Adam Klein,"painter, engraver (1792-1875)",http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Adam%20Klein%20-%20Maler%20und%20Kupferstecher.jpg
http://www.wikidata.org/entity/Q1692583,Johann Baptist Reiter,Austrian painter (1813-1890),http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Baptist%20Reiter%2C%20Selbstbildnis.jpg
http://www.wikidata.org/entity/Q540753,Paul Bril,Flemish painter,http://commons.wikimedia.org/wiki/Special:FilePath/Bril%2C%20Paul%20-%20Self-Portrait%20-%201595-1600%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1871782,Louis-Jean-François Lagrenée,French painter (1725-1805),http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Jean%20Francois%20Lagren%C3%A9e%20-%20Self-portrait.jpg
http://www.wikidata.org/entity/Q1677924,Jacques Carabain,Belgian painter (1834-1933),http://commons.wikimedia.org/wiki/Special:FilePath/Carabain-selfportrait.jpg
http://www.wikidata.org/.well-known/genid/af0aa2cc14b6e0f9d1a08d2c60903c03,http://www.wikidata.org/.well-known/genid/af0aa2cc14b6e0f9d1a08d2c60903c03,,
http://www.wikidata.org/entity/Q48319,Hans Holbein the Younger,German artist and printmaker (1497–1543),http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Holbein%20the%20Younger%2C%20self-portrait.jpg
http://www.wikidata.org/entity/Q470655,Philipp Peter Roos,German painter,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Baptiste%20Descamps-Philippe%20Roos.jpg
http://www.wikidata.org/entity/Q28869722,Hermann Ziebland,German genre painter (1853-1896),
http://www.wikidata.org/entity/Q153746,Albrecht Altdorfer,German painter (1480-1538),http://commons.wikimedia.org/wiki/Special:FilePath/Altdorfer.jpg
http://www.wikidata.org/entity/Q278623,Johann Heinrich Schönfeld,German painter in the Baroque style (1609-1684),http://commons.wikimedia.org/wiki/Special:FilePath/Teutsche%20Academie%20Johann%20Heinrich%20Sch%C3%B6nfeld%20Pb-605%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q983275,Francesco Botticini,Italian painter (1446-1498),
http://www.wikidata.org/entity/Q8453,Giovanni Battista Cima da Conegliano,Italian Renaissance painter (c. 1459–d. 1517),
http://www.wikidata.org/entity/Q1460151,Friedrich Kaiser,German painter (1815–1889),
http://www.wikidata.org/entity/Q538998,Carlo Maratta,Italian painter (1625–1713),http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20Maratta%20-%20Self-portrait%20%28Uffizi%20Gallery%29.jpg
http://www.wikidata.org/entity/Q1692546,Johann Baptist Hofner,German painter (1832-1913),
http://www.wikidata.org/entity/Q1126832,Conrad Hoff,German painter (1816-1883),
http://www.wikidata.org/entity/Q1056484,Tanzio da Varallo,Italian painter (1575-1633),
http://www.wikidata.org/entity/Q1714991,Paul Friedrich Meyerheim,German painter (1842-1915),http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Meyerheim.jpg
http://www.wikidata.org/entity/Q49761474,Petrus Kremer,designer of prints and paintings,http://commons.wikimedia.org/wiki/Special:FilePath/Kremer%2C%20Pierre%20%281801-1888%29%3B%20schilder%2C%20tekenaar%2C%20Baugniet%2C%20Charles%2C%20FelixArchief%2C%2012%2012767.jpg
http://www.wikidata.org/entity/Q1583777,Karl Russ,Austrian painter (1779-1843),http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Russ%20-%20Selbstbildnis%20-%202538%20-%20Kunsthistorisches%20Museum.jpg
http://www.wikidata.org/entity/Q26898573,Robert Schleich,German painter (1845-1934),
http://www.wikidata.org/entity/Q1449173,Franz Steinfeld,Austrian artist (1787-1868),http://commons.wikimedia.org/wiki/Special:FilePath/Stober-Steinfeld.jpg
http://www.wikidata.org/entity/Q589135,Anton Einsle,portrait painter (1801-1871),http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Einsle%20-%20Selbstportr%C3%A4t%20-%202938%20-%20Kunsthistorisches%20Museum.jpg
http://www.wikidata.org/entity/Q1053152,Macrino d'Alba,artist from Italy (1460-1520),http://commons.wikimedia.org/wiki/Special:FilePath/Macrino%20d%E2%80%99Alba%2C%20Autoritratto%3B%20Tempera%20su%20tavola%3B%20Torino%2C%20Museo%20Civico%20d%E2%80%99Arte%20Antica.jpg
http://www.wikidata.org/entity/Q594117,Anton Seitz,German painter (1829-1900),http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Seitz%20001.JPG
http://www.wikidata.org/entity/Q1447485,Franz Joseph Dobyaschofsky,Austrian painter (1818-1867),http://commons.wikimedia.org/wiki/Special:FilePath/Dobyaschofsky%20Litho.jpg
http://www.wikidata.org/entity/Q567337,Jörg Breu the Elder,German painter (c. 1475–1537),
http://www.wikidata.org/entity/Q323110,Gustave Brion,French painter (1824-1877),http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Brion%20-%20photographie%20Antoine%20Meyer.jpg
http://www.wikidata.org/entity/Q19289109,Leopold Bendix,painter (1818-1883),
http://www.wikidata.org/.well-known/genid/fb6e8d856f7ac9fcd16512a551b178e8,http://www.wikidata.org/.well-known/genid/fb6e8d856f7ac9fcd16512a551b178e8,,
http://www.wikidata.org/entity/Q3701752,Daniel Vertangen,painter from the Northern Netherlands,
http://www.wikidata.org/entity/Q2417956,Theodor Leopold Weller,German painter (1802-1880),http://commons.wikimedia.org/wiki/Special:FilePath/Weller%20Selbstbildnis%201854.jpg
http://www.wikidata.org/.well-known/genid/80ffc7eb740c044cfedf6699829fafc3,http://www.wikidata.org/.well-known/genid/80ffc7eb740c044cfedf6699829fafc3,,
http://www.wikidata.org/entity/Q1378723,Eustache Le Sueur,French artist and one of the founders of the French Academy of Painting (1617-1655),http://commons.wikimedia.org/wiki/Special:FilePath/Eustache%20le%20sueur.jpg
http://www.wikidata.org/entity/Q247183,Cornelius van Poelenburgh,Dutch painter (1594–1667),http://commons.wikimedia.org/wiki/Special:FilePath/Coenraet%20Waumans%20-%20Portrait%20of%20Cornelis%20van%20Poelenburch.jpg
http://www.wikidata.org/entity/Q551896,Ludwig Richter,German painter and engraver (1803-1884),http://commons.wikimedia.org/wiki/Special:FilePath/Wilhelm%20von%20K%C3%BCgelgen%20-%20Bildnis%20Ludwig%20Richter%2C%201836.jpg
http://www.wikidata.org/entity/Q3751077,Francisque Millet,French painter and engraver (1642–1679),http://commons.wikimedia.org/wiki/Special:FilePath/Francisque%20Millet%20-%201762%20engraving%20after%20a%20book%20illustration%20from%201745.jpg
http://www.wikidata.org/entity/Q1080700,Christian Kröner,German painter (1838-1911),http://commons.wikimedia.org/wiki/Special:FilePath/Kroener%20Christian.jpg
http://www.wikidata.org/.well-known/genid/ead183c317553a157afb3ebcb9b62fca,http://www.wikidata.org/.well-known/genid/ead183c317553a157afb3ebcb9b62fca,,
http://www.wikidata.org/.well-known/genid/b1befe4a87395b0f84d7d4cc00a22715,http://www.wikidata.org/.well-known/genid/b1befe4a87395b0f84d7d4cc00a22715,,
http://www.wikidata.org/entity/Q876190,Ludwig von Löfftz,German painter (1845-1910),http://commons.wikimedia.org/wiki/Special:FilePath/Ludwig%20von%20L%C3%B6fftz.jpg
http://www.wikidata.org/entity/Q2281325,Anthonie Blocklandt van Montfoort,Dutch painter (1533–1583),http://commons.wikimedia.org/wiki/Special:FilePath/Anthonie%20van%20Blocklandt.jpg
http://www.wikidata.org/.well-known/genid/ea5b5195327e30a49f8c39a42ebf214c,http://www.wikidata.org/.well-known/genid/ea5b5195327e30a49f8c39a42ebf214c,,
http://www.wikidata.org/entity/Q318543,Hermann Kretzschmer,German painter (1811-1890),
http://www.wikidata.org/entity/Q2846303,Andrea Belvedere,Italian painter (1652-1732),
http://www.wikidata.org/entity/Q215718,Christian Leberecht Vogel,German painter and art historian (1759-1816),http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Christian%20Vogel%20von%20Vogelstein%20-%20Christian%20Leberecht%20Vogel2.jpg
http://www.wikidata.org/entity/Q22341919,Giovanni Battista Ortolani Damon,"Italian painter, ca. 1750-1789",
