item;itemLabel;itemDescription;status;altNames;GND;Proveana;VIAF;LCCN;RunDate
http://www.wikidata.org/entity/Q104701531;Alfred Harding;Viennese Jewish art dealer, murdered in Holocaust holocaust victim, b. 1900-03-13;Holocaust victim;;;;;;25-janv-24
http://www.wikidata.org/entity/Q1805898;Alfred Leonhard Tietz;German Jewish entrepreneur and art collector refugee from Nazis (1883-1941);Holocaust Aryanization or art restitution case link;Alfred Tietz;126631034;;77313078;;25-janv-24
http://www.wikidata.org/entity/Q19336233;Alfred Lindon;French Jewish art collector (1867-1948);Holocaust Aryanization or art restitution case link;Abner Lindenbaum, Alfred Lindenbaum;;;4,23116E+21;;25-janv-24
http://www.wikidata.org/entity/Q65176;Alfred Pringsheim;German Jewish mathematician, art collector, patron of the arts and refugee from Nazis (1850-1941);Holocaust Aryanization or art restitution case link;Alfred Israel Pringsheim;119120283;act20000990;29635689;n83800734;25-janv-24
http://www.wikidata.org/entity/Q94788180;Alfred Sommerguth;German Jewish art collector and refugee from Nazis (1859-1954);Holocaust Aryanization or art restitution case link;;136874851;act10000842;81147473;;25-janv-24
http://www.wikidata.org/entity/Q2645936;Alfred Stange;German art historian (1894-1968);ALIU Red Flag;Dr. Alfred Stange;117210013;;66540999;n80138001;25-janv-24
http://www.wikidata.org/entity/Q94954638;Alfred Weinberger;art collector in Paris, spoliated by the Nazi looting organisation, ERR;Holocaust Aryanization or art restitution case link;;;;;;25-janv-24
http://www.wikidata.org/entity/Q123054966;Alfred Zantop;printer and art dealer;ALIU Red Flag;;;;;;25-janv-24
http://www.wikidata.org/entity/Q16526126;Alice de Koenigswarter;French philanthropist salonnière and art collector (1878-1963);Holocaust Aryanization or art restitution case link;Alice Halphen;;;;;25-janv-24
http://www.wikidata.org/entity/Q46442189;Alice Manteau;art dealer;ALIU Red Flag;Mme Cloots, Mrs Alice Manteau;;;;;25-janv-24
http://www.wikidata.org/entity/Q59100120;Allen Loebl;art dealer, Kleinberger in France;ALIU Red Flag;A. L., A. Lebel, A. Loebl, Ali Loebl, Allan Loebl, Ally Loebl;;;;;25-janv-24
http://www.wikidata.org/entity/Q3816734;Allen Memorial Art Museum;museum in Oberlin, Ohio;Holocaust Aryanization or art restitution case link;Allen Art Museum, AMAM;;;155081650;n79092629;25-janv-24
